titulo,autor,exemplar,area
ENGLISH LANGUAGE DICTIONARY,COLLINS COBILD,EX.01,INGLES
ESSENTIAL ENGLISH DICTIONARY,CHAMBERS,EX.01,INGLES
THE ADVENTURE OF MOMOTARO,RLPH F. MCCARTHY,EX.01,JAPONES
COMPREHENSIVE TECCHINICAL DICTIONARY- ENGLISH PORTUGUESE,LEWIU L. SELL,EX.01,INGLES
STUDNTS DICTIONARY,COLLINS COBILD,EX.01,INGLES
DICIONARIO INGLES PORTUGUES-PORTUGUES INGLES,ALVARO FRANCO,EX.01,INGLES
PRACTISE YOUR PHRASAL VERBS,BRIAN HEATON,EX.01,INGLES
ENGLISH GRAMMAR IN USE-SECOND EDIT.,RAYMOND MURPHY,EX.01-EX.02-,INGLES
ESSENTIAL GRAMMAR IN USE -ONE,RAYMOND MURPHY,EX.01,INGLES
NEW ENGLISH GRAMMAR IN USE SUPPLEMENTARY,LOUISE HASHEMI-WITH RAYMOND MURPHY,EX.01,INGLES
ENGLISH GRAMMAR IN USE-WITH ANSWERS EDITION,RAYMOND MURPHY,EX.01,INGLES
GRAMMAR IN USE-REFERENCE AND PRACTICE FOR INTERM.STUDENTS OF ENGLISH,RAYMOND MURPHY -C/ ANSWER KEY,EX.01,INGLES
A BASIC ENGLISH GRAMMAR-,JOHN EASTWOOD,EX.01-EX.02-,INGLES
VOCABULARY BUILDER (1),BERNARD SEAL,EX.01,INGLES
VOCABULARY BUILDER (2),BERNARD SEAL,EX.01,INGLES
VOCABULARIO TECNICO -INGLES PORTUGUES,MECANICA POPULAR,EX.01,INGLES
A COMPREHENSIVE ENGLISH GRAMMAR,"C.E. ECKERSLEY,MA",EX.01,INGLES
A PRACTICAL ENGLISH GRAMMAR,A. J. THOMSON,EX.01,INGLES
WEAK FORMS,COLIN MORTIMER,,INGLES
1001 PROVERBIOS EM CONTRASTE,MARTHA STEINBERG,EX.01,INGLES
SHOUGAKKOU SHAKAIKA CHIZUCHOU,TEIKOKUSHOIN,EX.01,JAPONES
MUKO E IKITAI AMOUSHI,KUN-YOKO FUJITA,EX.01,JAPONES
XOGUM,JAMES CLAVELL,EX.01,JAPONES
THE ELEPHANT MAN,TIM VICARY,EX.01,INGLÊS
HOKU-SAN NO KINNISHI,FUKAMI HARUO,EX.03,JAPONES
XOGUM,JAMES CLAVELL,EX.02,JAPONES
THIS IS SAN FRANCISCO,BETSY PENNINK,EX.01-EX.02-,INGLES
WHITE DEATH,TIM VICARY,EX.01-EX.02EX.03-EX.04-EX.05-EX.06-EX.07,INGLES
THE GNOMES,DIRCE GUEDES,EX.01,INGLES
THE ANTS PARTY,NICK BEARE,EX.01,INGLES
FREDS BOOTS,AMADEU MARQUES,EX.01,INGLES
THE MAGICIAN,JOHN ESCOTT,EX.01,INGLES
THE TOY CAR,ISRAEL JELIN,EX.01,INGLES
LETS START-MAGAZINE,BUCHLADEN,EX.01,INGLES
FRED SMITH,BRIAN RICHARDS,EX.01,INGLES
FREDS BOOTS,AMADEU MARQUES,EX.01-EX.02-,INGLES
TIME FOR A ROBBERY,JOHN ESCOTT,EX.01,INGLES
THE GIRL IN THE MIRROR,PAUL DAVIES,EX.01,INGLES
BUTTON SOUP,C.J.MOORE,EX.01,INGLES
AVALANCHE,MARK FOSTER,EX.01,INGLES
SALLYS PHONE,CHRISTINE LINDOP,EX.01,INGLES
THIS IS OXFORD,MARGARET TARNER,EX.01,INGLES
THIS IS LONDON,PHILIP PROWSE,EX.01,INGLES
STREETS OF LONDON,CHERRY GILCHRIST,EX.01,INGLES
THE BARCELONA GAME,STEPHEN RABLEY,EX.01,INGLES
GEORGE SEES STARS,DAVE COUPER,EX.01,INGLES
MEW YORK CAFE,MICHAEL DEAN,EX.01,INGLES
THE ADVENTURE CAPITAL OF THE WORLD,NATIONAL GEOGRAPHIC,EX.01,INGLES
THE HOUSE ON THE HILL,ELIZABETH LAIRD,EX.01,INGLES
FUKUSHU NO WARUJU,MASAHIKO TAKAJOU,EX.01,JAPONES
THE HOUSE ON THE HILL E,ELIZABETH LAIRD,EX.01-EX.02-,INGLES
BRASIL 500 YEARS,FRANCISCO LIMA,EX.01-EX.02-,INGLES
THE ARCADE,STEPHEN COLBOURN,EX.01,INGLES
THE MAGIC BARBER,JOHN MILNE,EX.01,INGLES
MEET THE SPOKIES,AMANDA CANT,EX.01,INGLES
DANGER AT SEA,KIERAN MCGOVERN,EX.01,INGLES
LAST CHANCE,PHILLIP BURROWS,EX.01,INGLES
PATSY AND MACAW,JOHN ESCOTT,EX.01,INGLES
AXLE TOM,CAROLINE LAIDLAW,EX.01,INGLES
STAR PICTURE,JOHN ESCOTT,EX.01,INGLES
LAISA IN LONDON,PAUL VICTOR,EX.01,INGLES
RATS BASEMENT,VERA ZAHAR,EX.01,INGLES
THE RANSOM OF RED CHIEF,O. HENRI,EX.01,INGLES
CUPID THE DOLPHIN,NATIONAL GEOGRAPHIC,EX.01,INGLES
THE GIRL IN THE MIRROR,PAUL DAVIES,EX.01-EX.02-,INGLES
GIRL ON A MOTORCYCLE,JOHN ESCOTT,EX.01,INGLES
